##Temp./>C,Time/min,Mass/%,Segment
 55.18500,  3.12000, 99.20000,1
 55.22400,  3.13000, 99.20000,1
 55.27700,  3.14000, 99.20000,1
 55.32300,  3.15000, 99.19048,1
 55.36700,  3.16000, 99.19048,1
 55.41800,  3.17000, 99.19048,1
 55.46000,  3.18000, 99.19048,1
 55.50400,  3.19000, 99.19048,1
 55.53900,  3.20000, 99.17143,1
 55.60000,  3.21000, 99.16190,1
 55.66400,  3.22000, 99.16190,1
 55.69000,  3.23000, 99.16190,1
 55.75100,  3.24000, 99.16190,1
 55.78700,  3.25000, 99.16190,1
 55.84600,  3.26000, 99.16190,1
 55.88600,  3.27000, 99.14286,1
 55.92900,  3.28000, 99.12381,1
 55.99400,  3.29000, 99.12381,1
 56.03700,  3.30000, 99.12381,1
 56.06900,  3.31000, 99.12381,1
 56.12400,  3.32000, 99.12381,1
 56.16800,  3.33000, 99.12381,1
 56.23500,  3.34000, 99.12381,1
 56.27400,  3.35000, 99.12381,1
 56.31000,  3.36000, 99.12381,1
 56.36600,  3.37000, 99.08571,1
 56.40900,  3.38000, 99.08571,1
 56.48100,  3.39000, 99.08571,1
 56.52200,  3.40000, 99.08571,1
 56.55500,  3.41000, 99.08571,1
 56.60700,  3.42000, 99.07619,1
 56.66700,  3.43000, 99.07619,1
 56.72000,  3.44000, 99.07619,1
 56.76400,  3.45000, 99.07619,1
 56.80800,  3.46000, 99.06667,1
 56.86200,  3.47000, 99.06667,1
 56.91400,  3.48000, 99.06667,1
 56.97400,  3.49000, 99.03810,1
 57.00800,  3.50000, 99.03810,1
 57.05100,  3.51000, 99.03810,1
 57.10000,  3.52000, 99.03810,1
 57.15500,  3.53000, 99.03810,1
 57.21000,  3.54000, 99.02857,1
 57.25700,  3.55000, 99.02857,1
 57.30700,  3.56000, 99.02857,1
 57.35400,  3.57000, 99.00952,1
 57.40200,  3.58000, 99.00952,1
 57.45300,  3.59000, 99.00952,1
 57.49900,  3.60000, 99.00952,1
 57.55700,  3.61000, 99.00952,1
 57.60100,  3.62000, 98.99048,1
 57.65200,  3.63000, 98.99048,1
 57.70800,  3.64000, 98.99048,1
 57.77000,  3.65000, 98.99048,1
